Unique Int,Food Type Code,Food Type,Definition
100,100-000,North American,"North American food includes American, Mexican, Canadian, Hawaiian/Polynesian, Caribbean, Cuban, and their subtypes."
1,101-000,American,"American Food should be applied mainly in the U. S. Outside the U.S. this Food Type can be used for chains such as Hard Rock Cafe and Planet Hollywood. Typical American dishes vary by region but may include dishes such as Buffalo Wings, Chili Con Carne, Hotcakes, Macaroni and Cheese.   Note: See also Californian and Southwestern for related Food Types."
1,101-001,American-Californian,"Californian Food should be applied to restaurants serving food typical to California. This contains many fresh, local ingredients like goat cheese, avocado, and artichokes. A famous restaurant is Chez Panisse. This Food Type should mainly be used in the U.S. Note: See American and Southwestern for related Food Types."
1,101-002,American-Southwestern,"Southwestern Food should be applied to restaurants serving food from the Southwestern region of the United States which is heavily influenced by Mexican cuisine. Typical southwestern food includes chili con carne, fajitas, and steak."
1,101-003,American-Barbecue/Southern,"The Barbecue/Southern Food Type should be applied to restaurants that identify themselves as a Barbecue restaurant. Barbecue is typically food slow-cooked over the heat of a fire or hot coals, usually marinated in spicy barbecue sauce. Typical dishes are pork, ribs, and smoked chicken, which are usually accompanied by a barbecue sauce. Note: See also Californian Food, Grill, Southwestern Food, Steak House for related Food Types."
1,101-004,American-Creole,"Creole food should be applied to restaurants serving Creole dishes. Creole food refers to the local cuisine in Louisiana, which has its roots in French, Spanish, Portuguese, Italian, Native American, and African cuisines. A common Creole dish is jambalaya."
1,101-039,American-Native American,"Native American cuisine of North America includes such staples as maize, beans, squash, potatoes, peppers, and sassafras."
1,101-040,American-Soul Food,"The origins of Soul food can be traced to Africa and Europe, and include foods such as rice, sorghum, and okra. Greens such as collards, kale, cress, mustard, and pokeweed - lard, cornmeal, and offal. Popular Soul Food dishes include pigs feet, oxtail, ham hocks, pig ears, hog jowls, tripe, and chitterlings. Seasonings such as onions, garlic, thyme, and bay leaf are used to enhance flavor."
1,101-070,American-Cajun,"Cajun Food should be applied to restaurants that serve Cajun or Creole food. Common ingredients are rice, corn, vegetables (okra), seafood (crayfish, crab, oysters, shrimp). Typical Cajun/Creole dishes are boudin (sausage), gumbo (soup), jambalaya (rice dish), crawfish pie."
2,102-000,Mexican,"Mexican Food should be applied to restaurants serving food from Mexico. In Mexican cuisine, some of the most important ingredients are beef, chicken, pork, cheese (queso), chili peppers, green peppers, broccoli, cauliflower, radishes. Typical Mexican dishes are quesadillas, bolillo, arroz verde, burrito, carne asada, enchilada, gorditas, pollo asado, tortillas. Mexican Food includes the subtypes of: Yucateca, Oaxaquena, Veracruzana, and Poblana."
2,102-005,Mexican-Yucateca,Yucateca cuisine is a mixture of European and Mexican flavors.
2,102-006,Mexican-Oaxaquena,"Corn is a main staple of oxacan food, with moles, fresh herbs, quesillo, and corn tortillas."
2,102-007,Mexican-Veracruzana,"Veracruz cuisine is influenced by Spanish and Afro-Cuban cuisine and uses vanilla, corn, seafood, rice, spices, tubers, yucca, and peanuts as ingredients."
2,102-008,Mexican-Poblana,"Poblana cuisine contains the poblano, a mild chili pepper."
3,103-000,Canadian,"Canadian Food should be applied to restaurants serving food from Canada. This Food Type should mainly be used in Canada. Canadian food varies per region and includes baked foods, wild game, and gathered foods. Typical Canadian dishes are ginger beef, Montreal smoked meat, cheese curds, moose."
4,150-000,Australian,"Australian Food should be applied to restaurants serving food from Australia. Australian food is based on traditional British cooking and is influenced by Mediterranean and Asian food. Typical Australian dishes include sandwiches, pasta, risotto, curry dishes, steak, or chicken. fresh produce, seafood, and barbecues are also typical."
5,151-000,Hawaiian/Polynesian,"Hawaiian/Polynesian Food should be applied to restaurants which serve food from Hawaii or Polynesia. These cuisines are multi-ethnic and often consist of rice, macaroni salad, hamburger, fried egg, gravy, or the traditional luau. Typical Hawaiian dishes are loco moco, tonkatsu (originally from Japan), kalua pig."
6,152-000,Caribbean,"Caribbean Food should be applied to restaurants that serve food from Caribbean countries such as Cuba, Puerto Rico, Dominican Republic, Jamaica. Common ingredients are lime, garlic, cinnamon, nutmeg, fish, rice. Typical Caribbean dishes are jerk, curried goat and chicken, callaloo, conch fritter. Note: See also Latin American Food for related Food Type."
7,153-000,Cuban,"Cuban Food has its origins from Spanish, African, and Caribbean cuisine. Typical dishes include staples of rice and beans and use pork or beef, tubers, salad, and fruit."
101,200-000,Asian,"Asian Food can be categorized as East Asian, with origins in China, Japan and Korean. Southeast Asian, with origins in Cambodia, Laos, Thailand, Vietnam, Brunei, Indonesia, Malaysia, Singapore, and the Philippines. South Asian with origins in India, Burma, Sri Lanka, Bangladesh, and Pakistan."
8,201-000,Chinese,"Chinese Food should be applied to restaurants serving traditional Chinese food which consists of rice, noodles, meat, vegetables, tofu, and fish. Chinese restaurants outside China have adapted their menus based on local tastes so dishes are different per country."
8,201-009,Chinese-Szechuan,Chinese food from the Sichuan Province in southwestern China which is typically spicy.
8,201-010,Chinese-Cantonese,"Chinese food from the Guangdong Province in southern China which consists of rice, noodles, meat, vegetables, tofu, and fish."
8,201-041,Chinese-Shanghai,"Also known as Hu cuisine. alcohol, fish, crab and chicken, salted meats, and preserved vegetables, with added sugar are popular."
8,201-042,Chinese-Beijing,"Also known as Jing or Mandarin, this is the cuisine of Beijing. Main courses are mostly of other Chinese cuisines."
8,201-043,Chinese-Hunan/Hubei,"Hunan or Xiang cuisine is spicy and is cooked by stewing, frying, pot-roasting, braising, and smoking. Hubei cuisine uses dried hot pepper, black pepper, and other spices and is comprised of three styles: Wuhan style, which include soups and noodle dishes, Huangzhou style, more oily and salty, Jingzhou style, specializing in steamed fish dishes."
8,201-044,Chinese-Jiangsu/Zhejiang,"Jiangsu cuisine uses braising and stewing methods for cooking. Zhejiang cuisine consists of four styles: Hangzhou, which uses bamboo shoots. Shaozing, which specializes in poultry and freshwater fish. Ningbo, which specializes in seafood, and Shanghai style, which is famous for dim sum."
